Amplitude,Phase,Amplitude error
8.5701681639319176,-108.37052178757042,3.8261185518951191
50.791205486210679,-8.4022990833246851,0.82475958582377018
45.811809133961631,-18.980772377531952,1.5182204765482921
39.316880646049853,-21.584313482471575,0.30131341096912423
35.288580390094552,-19.290204898124891,0.40951675656125575
34.826593138792916,-19.02193117296282,1.4269944283939897
25.956855120337359,-18.111452867068888,1.9480255359996674
28.305180776088925,-16.485698862274798,2.9314275597276702
29.4413914927738,-15.590459749027646,1.8389863652762821
25.667563015888287,-16.181935457201,2.4133812570722193
61.888443334164442,-21.545903759091427,6.929150175370002
72.976555500648828,-35.823356655028185,7.5742445013782103
60.074159015823987,-46.7788401557277,6.6371679003555162
53.007221078716341,-55.378473830367348,5.5815265613395182
46.924997522668377,-76.065013857569539,5.3003210330039323
39.910914899591418,-86.359349021893635,3.4294360308781684
34.97786178332705,-95.449168156424165,2.7562695507844555
36.814649356121883,-138.47785774087978,1.5881896891696548
17.613574202857958,-146.44644932420584,0.93430109989538257
22.072798201137918,-140.35394150896852,0.8928480497490926
59.87716831710177,175.70297929166105,2.323355614278908
43.301994557418617,150.42673038745727,1.8663085530256063
30.664058766822809,118.08461385160118,2.0543804077285861
24.644812401713782,100.23939930408494,2.1152512365378904
23.945670156504487,78.129665062793464,1.920784592256827
41.003164372582432,41.287525304693808,3.4185097930159616
15.637245681850382,-21.67252568138802,2.3708807179035123
27.653699327217993,5.7453615583937472,2.8903698571260574
8.310337969853725,-39.142931256817469,1.8558103492050453
4.2912048808347558,-38.204986304360915,1.3654699187114203
3.5657802070208344,-18.631115245111864,1.2212170792954362
3.6060274226941087,-21.138756311431461,1.0328661533550432
15.899629711074331,-32.278622154654521,4.8067317805369738
14.529470657168419,-40.578664085356202,4.7461970626606442
13.529288223505141,-49.18066157025104,4.450199020708574
12.952683238334313,-66.477453200734899,4.1799598814364094
10.268859238100008,-90.347421651846474,4.2613839639075302
5.8978304259375252,-122.20200329020494,2.9430574502697002
13.132252236434784,67.206823032386964,7.2445272802973735
28.449467569696662,-94.818348664015247,14.458627816876012
24.928812641373643,71.971124928770053,13.172822929852364
57.830974814591634,-160.14057884878926,26.733565555630605
