1.570796327,-0.01378,0.013886
1.396263402,-0.21624,0.019398
1.221730476,-0.78016,0.0198432
1.047197551,-1.33136,0.021624
0.872664626,-1.67268,0.030952
0.698131701,-1.47128,0.038372
0.523598776,-0.99216,0.02226
0.34906585,-0.53848,0.022896
0.174532925,-0.101124,0.0169176
0,-0.03498,0.023744
-0.174532925,-0.36464,0.024168
-0.34906585,-0.92644,0.023532
-0.523598776,-1.55608,0.034556
-0.698131701,-1.94192,0.02544
-0.872664626,-1.77656,0.04028
-1.047197551,-1.24868,0.032436
-1.221730476,-0.66356,0.023744
-1.396263402,-0.21836,0.02438
-1.570796327,-0.032012,0.023744
