267,0.031,0.002,256,0.031,0.002
202,0.046,0.002,197,0.046,0.002
161,0.061,0.002,157,0.061,0.002
130,0.076,0.002,127,0.076,0.002
106,0.092,0.002,102,0.092,0.002
84,0.107,0.002,81,0.107,0.002
65,0.122,0.002,64,0.12,0.002
48,0.137,0.002,48,0.14,0.002
34,0.153,0.002,33,0.152,0.002
19,0.168,0.002,22,0.168,0.002
8,0.183,0.002,11,0.183,0.002
