Amplitude,Phase,Amplitude error
35.783348338791754,178.26329756258443,0.93701554405436338
33.069870690425589,175.04162434643888,0.62314022900756894
31.880206285768782,165.35373386509644,0.67005934473608786
30.244440082296553,166.19544601352629,0.72116190514892253
31.224447389761881,166.23592967180801,0.99052025799021171
30.379139327281891,166.03069192755066,0.92311875764274487
30.327017303344409,165.89416220109555,0.82609570085866957
29.545643350260118,164.8923160765882,0.78591251489309721
29.834670438660577,162.37061659270148,1.4212741001756832
63.991289528443005,154.90361398316398,3.0276628725233414
65.829557277410814,139.33766769538545,2.7315160340520439
65.691742630705903,139.77817155715167,2.664041495595562
54.774639836626463,112.36836055988945,3.2397691168038989
46.60485159333868,88.521270636958675,2.4507020069706105
38.604607033983626,72.976820374690803,1.92671840010797
32.125296081554623,60.870120870271947,1.7616140869398349
26.022089224111209,29.894880005635383,1.6620664245508718
12.472252942282376,25.815987067100501,1.0221910713235509
14.74301316036901,36.31919003657196,0.9400908656672291
41.519558929154343,-8.0747180175649937,2.3931169935431305
29.197204818697028,-38.401215943207852,2.0332934891567569
23.213293537850955,-61.369794334996477,2.1774602099401266
19.471614327947538,-82.066169354070155,2.4557157199447905
17.702779696547829,-112.93859653251792,2.2290849364682641
24.872400710710551,-150.37948332176526,3.4721437431881372
14.229330172030984,-177.92109244444268,2.6219130190013114
7.8246043422241911,169.05129091370807,2.0316778273245983
5.4401912690586416,170.1557412421007,1.7159203413661159
3.9324554158319174,162.37054918922044,1.4138384292876498
3.2760231899574301,154.86590694472542,1.1602398696933953
2.5376481577423475,143.56714759483503,1.0023235112334337
10.766627608071127,140.12033895323808,4.9590564183734651
10.818322157677903,144.81080163423485,4.3506949009356308
10.290546976858471,120.09953188246358,3.9111845459318295
9.1113855305371665,100.8229884189349,3.9047441343684928
7.9629467151791271,82.969121924700318,3.6968712096366994
6.8317934022813134,68.876475453933679,3.1424981444787901
5.8980809820942364,38.388556511607923,3.1151090166780566
8.6548503024491588,88.58022678989073,4.6194551659334246
29.134642774593694,-151.32911653765473,14.954160725270178
28.798292635460644,-161.56413223486791,15.620072141074393
49.803811325585478,124.0149019865537,24.706895798135623
