Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0.170313	10	0.170313	0.147404	0.170313	0.421766	
0.171875	10	0.171875	0.146794	0.171875	0.422681	
0.173438	10	0.173438	0.158696	0.173438	0.418104	
0.175	10	0.175	0.144963	0.175	0.418714	
0.176563	10	0.176563	0.151067	0.176563	0.419019	
0.178125	10	0.178125	0.144658	0.178125	0.421461	
0.179687	10	0.179687	0.149236	0.179687	0.424207	
0.18125	10	0.18125	0.144047	0.18125	0.41963	
0.182813	10	0.182813	0.142521	0.182813	0.42085	
0.184375	10	0.184375	0.147099	0.184375	0.419019	
0.185938	10	0.185938	0.151067	0.185938	0.421766	
0.1875	10	0.1875	0.137638	0.1875	0.421766	
0.189063	10	0.189063	0.14832	0.189063	0.414441	
0.190625	10	0.190625	0.147404	0.190625	0.421461	
0.192188	10	0.192188	0.141606	0.192188	0.41963	
0.19375	10	0.19375	0.149541	0.19375	0.417493	
0.195312	10	0.195312	0.14069	0.195312	0.41963	
0.196875	10	0.196875	0.145573	0.196875	0.424512	
0.198438	10	0.198438	0.146489	0.198438	0.421461	
0.2	10	0.2	0.14771	0.2	0.419324	
0.201563	10	0.201563	0.158696	0.201563	0.419935	
0.203125	10	0.203125	0.143132	0.203125	0.424512	
0.204688	10	0.204688	0.155644	0.204688	0.418409	
0.20625	10	0.20625	0.152593	0.20625	0.422376	
0.207813	10	0.207813	0.134892	0.207813	0.425733	
0.209375	10	0.209375	0.14832	0.209375	0.420545	
0.210937	10	0.210937	0.147099	0.210937	0.422987	
0.2125	10	0.2125	0.144658	0.2125	0.416578	
0.214063	10	0.214063	0.150151	0.214063	0.422376	
0.215625	10	0.215625	0.146794	0.215625	0.421155	
0.217188	10	0.217188	0.142827	0.217188	0.419935	
0.21875	10	0.21875	0.145878	0.21875	0.420545	
0.220313	10	0.220313	0.151982	0.220313	0.420545	
0.221875	10	0.221875	0.144658	0.221875	0.422987	
0.223438	10	0.223438	0.148015	0.223438	0.423597	
0.225	10	0.225	0.145268	0.225	0.422987	
0.226562	10	0.226562	0.155644	0.226562	0.423292	
0.228125	10	0.228125	0.146489	0.228125	0.417798	
0.229688	10	0.229688	0.150151	0.229688	0.420545	
0.23125	10	0.23125	0.144658	0.23125	0.425428	
0.232813	10	0.232813	0.152593	0.232813	0.422376	
0.234375	10	0.234375	0.146794	0.234375	0.422376	
