Time - Pre2	TTL signal - Pre2	Time - Pre	TTL signal - Pre	
0.446875	7.1116	0.867187	25.4276	
0.448438	-0.173169	0.86875	33.1286	
0.45	-13.4939	0.870313	38.5402	
0.451563	15.437	0.871875	39.9971	
0.453125	-5.58471	0.873438	46.0331	
0.454688	15.437	0.875	23.1381	
0.45625	-4.12776	0.876563	34.7937	
0.457813	8.98482	0.878125	34.7937	
0.459375	-3.91962	0.879688	26.6764	
0.460937	-2.25453	0.88125	15.6452	
0.4625	14.8126	0.882812	22.3055	
0.464063	7.1116	0.884375	23.3462	
0.465625	17.5184	0.885938	19.3916	
0.467188	1.28378	0.8875	22.93	
0.46875	12.1069	0.889063	-0.381306	
0.470313	38.9564	0.890625	37.4995	
0.471875	9.60923	0.892188	20.016	
0.473438	15.437	0.89375	38.5402	
0.475	13.772	0.895313	33.1286	
0.476562	7.73601	0.896875	17.5184	
0.478125	5.86278	0.898437	17.9347	
0.479688	0.451239	0.9	22.3055	
0.48125	-12.8695	0.901563	17.1021	
0.482813	10.4418	0.903125	18.7672	
0.484375	38.7483	0.904688	13.5638	
0.485938	23.9706	0.90625	16.0615	
0.4875	11.4825	0.907813	37.2914	
0.489063	13.5638	0.909375	30.4229	
0.490625	23.7625	0.910938	31.6717	
0.492187	32.9205	0.9125	41.6622	
0.49375	-2.0464	0.914062	24.8032	
0.495313	17.9347	0.915625	25.8439	
0.496875	16.894	0.917188	62.4758	
0.498438	21.473	0.91875	15.8533	
0.5	10.4418	0.920313	8.56855	
0.501563	8.77669	0.921875	3.15701	
0.503125	9.19296	0.923438	56.4399	
0.504688	0.0349669	0.925	-0.797578	
0.50625	11.0662	0.926563	38.5402	
0.507812	10.4418	0.928125	28.5496	
0.509375	17.1021	0.929687	51.0283	
0.510938	8.36042	0.93125	37.4995	
0.5125	15.437	0.932813	39.789	
0.514062	26.4683	0.934375	21.8893	
0.515625	7.73601	0.935938	12.1069	
0.517188	-10.1637	0.9375	23.5544	
0.51875	-10.7881	0.939063	37.7076	
0.520313	3.98956	0.940625	17.7265	
0.521875	-1.83826	0.942188	38.9564	
0.523437	-8.70675	0.94375	38.5402	
0.525	26.2601	0.945312	44.1598	
0.526563	-4.54403	0.946875	26.052	
0.528125	1.28378	0.948438	41.6622	
0.529687	-0.173169	0.95	29.174	
0.53125	-28.4797	0.951563	36.2507	
0.532813	-13.2858	0.953125	32.7124	
0.534375	-10.9963	0.954688	40.8297	
0.535938	-8.70675	0.95625	29.3822	
0.5375	-21.4031	0.957813	61.4352	
0.539062	10.8581	0.959375	30.2147	
0.540625	-7.04167	0.960937	41.8704	
0.542188	-10.58	0.9625	62.684	
0.54375	-12.6613	0.964063	31.4635	
0.545312	-18.6973	0.965625	56.4399	
0.546875	-4.75217	0.967188	28.3415	
0.548438	-24.317	0.96875	39.789	
0.55	-12.0369	0.970313	38.5402	
0.551563	2.74074	0.971875	40.4134	
0.553125	-11.4125	0.973438	49.1551	
0.554687	-12.6613	0.975	34.1693	
0.55625	6.69533	0.976562	18.351	
0.557813	4.8221	0.978125	44.9924	
0.559375	-17.0322	0.979688	34.7937	
0.560937	-2.25453	0.98125	60.6026	
0.5625	-7.2498	0.982813	39.5809	
0.564063	2.94887	0.984375	21.8893	
0.565625	-20.3624	0.985938	17.1021	
0.567188	-16.6159	0.9875	14.1882	
0.56875	12.315	0.989063	21.2649	
0.570312	-6.20912	0.990625	42.4948	
0.571875	-20.1542	0.992187	37.9158	
0.573438	-5.16844	0.99375	15.6452	
0.575	27.3008	0.995313	15.8533	
0.576562	-2.87894	0.996875	22.5137	
0.578125	-12.8695	0.998438	43.3273	
0.579688	11.2743	1	25.6357	
0.58125	7.73601	1.00156	28.9659	
0.582813	1.70006	1.00313	23.9706	
0.584375	-17.6566	1.00469	22.0974	
0.585937	-17.8647	1.00625	45.2005	
0.5875	-26.8146	1.00781	45.4087	
0.589063	-1.21385	1.00938	38.332	
0.590625	-6.41726	1.01094	16.0615	
0.592187	8.98482	1.0125	19.1835	
0.59375	7.52787	1.01406	41.4541	
0.595313	-6.41726	1.01563	29.7984	
0.596875	-16.4078	1.01719	52.6934	
0.598438	-18.4892	1.01875	37.7076	
0.6	-12.8695	1.02031	30.8391	
0.601562	4.40583	1.02188	33.1286	
0.603125	5.03024	1.02344	39.789	
0.604688	-20.9868	1.025	46.0331	
1.21563	-4.22933	1.63594	39.063	
1.21719	16.3762	1.6375	35.3166	
1.21875	11.589	1.63906	20.5389	
1.22031	4.92867	1.64063	23.8691	
1.22188	-1.31542	1.64219	20.3307	
1.22344	-4.6456	1.64375	20.1226	
1.225	13.2541	1.64531	7.4263	
1.22656	5.1368	1.64688	25.5342	
1.22813	-12.1385	1.64844	-10.6816	
1.22969	-14.2199	1.65	-0.482876	
1.23125	-24.4185	1.65156	45.3071	
1.23281	-20.0477	1.65313	34.2759	
1.23438	-26.4999	1.65469	42.8095	
1.23594	-31.9114	1.65625	7.21816	
1.2375	-2.77237	1.65781	10.3402	
1.23906	-16.5094	1.65938	21.7877	
1.24063	-8.39205	1.66094	32.1945	
1.24219	4.92867	1.6625	13.6704	
1.24375	-8.39205	1.66406	36.9816	
1.24531	-12.5548	1.66563	59.6685	
1.24688	-11.9304	1.66719	34.9003	
1.24844	-26.0836	1.66875	25.1179	
1.25	-16.3012	1.67031	31.1538	
1.25156	-10.0571	1.67188	42.6013	
1.25313	15.9599	1.67344	24.7016	
1.25469	4.92867	1.675	31.362	
1.25625	-10.0571	1.67656	17.2087	
1.25781	-5.27001	1.67813	33.4433	
1.25938	-9.01646	1.67969	15.7518	
1.26094	-5.06187	1.68125	16.168	
1.2625	2.8473	1.68281	8.05071	
1.26406	-24.8348	1.68438	18.0412	
1.26563	-16.7175	1.68594	29.4887	
1.26719	-10.8897	1.6875	45.099	
1.26875	-20.8802	1.68906	8.67512	
1.27031	-0.899149	1.69063	5.76121	
1.27188	-10.2653	1.69219	31.5701	
1.27344	-5.68628	1.69375	28.4481	
1.275	-6.72696	1.69531	9.29953	
1.27656	9.29953	1.69688	27.1992	
1.27813	-2.14797	1.69844	34.484	
1.27969	-4.6456	1.7	18.6657	
1.28125	19.2901	1.70156	4.72053	
1.28281	9.09139	1.70313	20.9552	
1.28438	-5.06187	1.70469	12.8378	
1.28594	8.46698	1.70625	21.9958	
1.2875	22.204	1.70781	10.5483	
1.28906	8.05071	1.70938	15.5436	
1.29063	2.63917	1.71094	0.765941	
1.29219	-2.77237	1.7125	20.1226	
1.29375	16.5843	1.71406	34.6921	
1.29531	-5.47815	1.71563	-14.6361	
1.29688	8.25885	1.71719	28.8643	
1.29844	23.2447	1.71875	8.46698	
1.3	20.5389	1.72031	32.8189	
1.30156	-1.52356	1.72188	17.2087	
1.30313	-0.899149	1.72344	15.9599	
1.30469	6.38562	1.725	18.4575	
1.30625	21.1633	1.72656	5.1368	
1.30781	13.8785	1.72813	18.4575	
1.30938	4.92867	1.72969	25.7423	
1.31094	1.80662	1.73125	28.0318	
1.3125	1.80662	1.73281	31.7782	
1.31406	-0.27474	1.73438	20.3307	
1.31563	-12.3466	1.73594	21.5796	
1.31719	8.46698	1.7375	5.1368	
1.31875	-7.55951	1.73906	17.8331	
1.32031	1.39035	1.74063	9.29953	
1.32188	12.6297	1.74219	2.01476	
1.32344	-14.2199	1.74375	-10.0571	
1.325	-8.80833	1.74531	27.8237	
1.32656	-27.7487	1.74688	27.8237	
1.32813	4.30426	1.74844	21.3714	
1.32969	-6.31069	1.75	19.7063	
1.33125	3.05544	1.75156	-4.43746	
1.33281	-14.428	1.75313	15.7518	
1.33438	-7.14324	1.75469	6.17748	
1.33594	-14.8443	1.75625	5.76121	
1.3375	-8.60019	1.75781	29.6969	
1.33906	2.8473	1.75938	24.7016	
1.34063	10.1321	1.76094	22.204	
1.34219	23.8691	1.7625	6.80189	
1.34375	-3.39678	1.76406	11.589	
1.34531	-20.8802	1.76563	26.783	
1.34688	-10.0571	1.76719	-1.10728	
1.34844	5.76121	1.76875	0.141533	
1.35	4.09612	1.77031	11.589	
1.35156	-12.9711	1.77188	5.34494	
1.35313	-7.14324	1.77344	37.1898	
1.35469	-10.8897	1.775	45.9315	
1.35625	9.50766	1.77656	22.6202	
1.35781	-11.0978	1.77813	-2.14797	
1.35938	-6.51883	1.77969	0.349669	
1.36094	-10.2653	1.78125	23.2447	
1.3625	0.765941	1.78281	13.046	
1.36406	-13.1792	1.78438	-1.73169	
1.36563	-8.18392	1.78594	18.8738	
1.36719	8.25885	1.7875	15.9599	
1.36875	-10.6816	1.78906	16.168	
