Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	4.99039	0	0.183111	
0.0015625	10	0.0015625	4.98337	0.0015625	0.182806	
0.003125	10	0.003125	4.99496	0.003125	0.183416	
0.0046875	10	0.0046875	4.99039	0.0046875	0.180364	
0.00625	10	0.00625	4.99069	0.00625	0.180364	
0.0078125	10	0.0078125	4.98795	0.0078125	0.181585	
0.009375	10	0.009375	4.99222	0.009375	0.182501	
0.0109375	10	0.0109375	4.98642	0.0109375	0.181585	
0.0125	10	0.0125	4.99405	0.0125	0.183721	
0.0140625	10	0.0140625	4.99252	0.0140625	0.184027	
0.015625	10	0.015625	4.9971	0.015625	0.183721	
0.0171875	10	0.0171875	4.9968	0.0171875	0.184332	
0.01875	10	0.01875	4.99283	0.01875	0.183721	
0.0203125	10	0.0203125	4.99313	0.0203125	0.180975	
0.021875	10	0.021875	4.98642	0.021875	0.180975	
0.0234375	10	0.0234375	4.98764	0.0234375	0.180059	
0.025	10	0.025	4.98917	0.025	0.180364	
0.0265625	10	0.0265625	4.9855	0.0265625	0.182501	
0.028125	10	0.028125	4.99191	0.028125	0.185553	
0.0296875	10	0.0296875	4.99161	0.0296875	0.180975	
0.03125	10	0.03125	4.99527	0.03125	0.182196	
0.0328125	10	0.0328125	4.99344	0.0328125	0.182501	
0.034375	10	0.034375	4.99435	0.034375	0.184027	
0.0359375	10	0.0359375	4.9968	0.0359375	0.182196	
0.0375	10	0.0375	5.00168	0.0375	0.184637	
0.0390625	10	0.0390625	4.9913	0.0390625	0.183416	
0.040625	10	0.040625	4.98795	0.040625	0.183111	
0.0421875	10	0.0421875	4.99191	0.0421875	0.182501	
0.04375	10	0.04375	4.99039	0.04375	0.18067	
0.0453125	10	0.0453125	4.98611	0.0453125	0.18128	
0.046875	10	0.046875	4.99252	0.046875	0.181585	
0.0484375	10	0.0484375	4.98642	0.0484375	0.176092	
0.05	10	0.05	4.99008	0.05	0.18067	
0.0515625	10	0.0515625	4.99619	0.0515625	0.183416	
0.053125	10	0.053125	4.98215	0.053125	0.18067	
0.0546875	10	0.0546875	4.99039	0.0546875	0.18128	
0.05625	10	0.05625	4.99832	0.05625	0.182806	
0.0578125	10	0.0578125	4.98459	0.0578125	0.18189	
