Amplitude,Phase
59.026587845086517,179.60461584874105
62.593301460819092,168.62411474445639
61.292388006197406,156.28860024013133
59.2284663215355,148.72577256620073
56.602325604528481,141.96282365982466
47.354968838112988,133.29087966536062
39.235751917128439,127.99330884285699
36.980460974011798,124.85079743132275
27.4487174406432,119.9710954814833
25.000722586145649,116.05511765165416
16.793096403830035,114.28144948015446
18.624218960832152,102.164029726018
14.924660275095892,89.48644475629979
23.496372641163415,81.74925554418553
19.665054978226728,72.625488367802603
21.391612791465054,46.686486131297002
49.310360341309639,65.696409903952599
37.19620812376737,57.444780554406108
28.300103584598656,51.140507726575919
17.464122235309453,34.93345604686084
44.184112091658889,18.555879190667795
18.438890286198497,-4.0182760083856444
12.418667920371496,-17.59806222302548
22.837703229423415,-33.462326269804407
33.451124681436774,-49.186435576592757
25.349586744822702,-64.410350984607049
23.670721450811801,-76.590595259191517
46.498897734220662,-96.052632225699398
41.111928477932899,-126.01167767077841
31.61773426340822,-164.31801992308286
43.376122671222838,-177.08510682881951
30.247139358945006,169.23560333394019
22.884326437048962,152.15447930353619
17.441107153055714,135.58644911799468
13.24592880086754,117.62146750434049
9.6020776414652946,97.819362047159771
6.390247538716971,85.652001513134309
11.163829569270248,66.217568465280465
8.2418678214688104,63.152537042225042
12.13113374514157,62.577707383799002
9.5328001027202998,65.606305261295986
8.5126895823225759,71.204809143052145
8.1210871037169277,61.155049359018754
8.1546561667777997,29.685550004719115
9.5642505009948415,175.00690200066003
26.567998319166016,153.84939813113527
37.067748654462619,9.1995553351603174
63.10766258700869,1.6319082565346084
23.350561208008731,99.790138611976815
