Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	4.95987	0	0.152593	
0.0015625	10	0.0015625	4.95682	0.0015625	0.153508	
0.003125	10	0.003125	4.95773	0.003125	0.154118	
0.0046875	10	0.0046875	4.95804	0.0046875	0.153203	
0.00625	10	0.00625	4.96109	0.00625	0.152287	
0.0078125	10	0.0078125	4.962	0.0078125	0.154118	
0.009375	10	0.009375	4.9617	0.009375	0.151982	
0.0109375	10	0.0109375	4.96414	0.0109375	0.151067	
0.0125	10	0.0125	4.95956	0.0125	0.153203	
0.0140625	10	0.0140625	4.96048	0.0140625	0.151677	
0.015625	10	0.015625	4.98215	0.015625	0.149541	
0.0171875	10	0.0171875	4.96048	0.0171875	0.154118	
0.01875	10	0.01875	4.9617	0.01875	0.152593	
0.0203125	10	0.0203125	4.95804	0.0203125	0.153508	
0.021875	10	0.021875	4.95804	0.021875	0.153813	
0.0234375	10	0.0234375	4.96048	0.0234375	0.154424	
0.025	10	0.025	4.95926	0.025	0.155339	
0.0265625	10	0.0265625	4.96139	0.0265625	0.149541	
0.028125	10	0.028125	4.95987	0.028125	0.152593	
0.0296875	10	0.0296875	4.96078	0.0296875	0.152898	
0.03125	10	0.03125	4.95987	0.03125	0.152593	
0.0328125	10	0.0328125	4.962	0.0328125	0.151067	
0.034375	10	0.034375	4.96139	0.034375	0.153203	
0.0359375	10	0.0359375	4.96597	0.0359375	0.154118	
0.0375	10	0.0375	4.95987	0.0375	0.151067	
0.0390625	10	0.0390625	4.96292	0.0390625	0.151677	
0.040625	10	0.040625	4.95987	0.040625	0.15595	
0.0421875	10	0.0421875	4.96323	0.0421875	0.152287	
0.04375	10	0.04375	4.96323	0.04375	0.153508	
0.0453125	10	0.0453125	4.96048	0.0453125	0.152287	
0.046875	10	0.046875	4.96261	0.046875	0.151677	
0.0484375	10	0.0484375	4.96353	0.0484375	0.152898	
0.05	10	0.05	4.96384	0.05	0.152898	
0.0515625	10	0.0515625	4.96384	0.0515625	0.151372	
0.053125	10	0.053125	4.96597	0.053125	0.152287	
0.0546875	10	0.0546875	4.97055	0.0546875	0.149236	
0.05625	10	0.05625	4.95956	0.05625	0.153203	
0.0578125	10	0.0578125	4.95651	0.0578125	0.153508	
0.059375	10	0.059375	4.96506	0.059375	0.148625	
0.0609375	10	0.0609375	4.95895	0.0609375	0.153813	
0.0625	10	0.0625	4.96048	0.0625	0.153508	
0.0640625	10	0.0640625	4.95804	0.0640625	0.153813	
0.065625	10	0.065625	4.96536	0.065625	0.151982	
0.0671875	10	0.0671875	4.95956	0.0671875	0.153203	
0.06875	10	0.06875	4.96109	0.06875	0.151982	
0.0703125	10	0.0703125	4.96384	0.0703125	0.151372	
0.071875	10	0.071875	4.96353	0.071875	0.153508	
0.0734375	10	0.0734375	4.96231	0.0734375	0.150761	
0.075	10	0.075	4.96048	0.075	0.153203	
0.0765625	10	0.0765625	4.95682	0.0765625	0.154424	
0.078125	10	0.078125	4.96323	0.078125	0.151067	
0.0796875	10	0.0796875	4.96017	0.0796875	0.151982	
0.08125	10	0.08125	4.96109	0.08125	0.155644	
0.0828125	10	0.0828125	4.95895	0.0828125	0.154118	
0.084375	10	0.084375	0.144658	0.084375	0.151372	
0.0859375	10	0.0859375	0.137638	0.0859375	0.151372	
0.0875	10	0.0875	0.14832	0.0875	0.153203	
0.0890625	10	0.0890625	0.145573	0.0890625	0.151982	
0.090625	10	0.090625	0.14771	0.090625	0.150151	
0.0921875	10	0.0921875	0.141606	0.0921875	0.150151	
0.09375	10	0.09375	0.143132	0.09375	0.151372	
0.0953125	10	0.0953125	0.146489	0.0953125	0.151677	
0.096875	10	0.096875	0.143437	0.096875	0.152593	
0.0984375	10	0.0984375	0.145573	0.0984375	0.151372	
0.1	10	0.1	0.142216	0.1	0.151677	
0.101562	10	0.101562	0.146794	0.101562	0.153508	
0.103125	10	0.103125	0.14008	0.103125	0.153508	
0.104688	10	0.104688	0.140996	0.104688	0.154424	
0.10625	10	0.10625	0.152898	0.10625	0.152287	
0.107813	10	0.107813	0.145268	0.107813	0.151982	
0.109375	10	0.109375	0.150151	0.109375	0.152593	
0.110938	10	0.110938	0.149236	0.110938	0.151372	
0.1125	10	0.1125	0.147099	0.1125	0.152287	
0.114063	10	0.114063	0.14771	0.114063	0.151067	
0.115625	10	0.115625	0.147404	0.115625	0.152593	
0.117187	10	0.117187	0.144353	0.117187	0.151982	
0.11875	10	0.11875	0.152593	0.11875	0.14771	
0.120313	10	0.120313	0.142827	0.120313	0.153508	
0.121875	10	0.121875	0.142827	0.121875	0.153813	
0.123438	10	0.123438	0.149541	0.123438	0.153508	
0.125	10	0.125	0.14893	0.125	0.150456	
0.126562	10	0.126562	0.148015	0.126562	0.149236	
0.128125	10	0.128125	0.15595	0.128125	0.150456	
0.129688	10	0.129688	0.142216	0.129688	0.153203	
0.13125	10	0.13125	0.146184	0.13125	0.149846	
0.132812	10	0.132812	0.14832	0.132812	0.150151	
0.134375	10	0.134375	0.147099	0.134375	0.150151	
0.135938	10	0.135938	0.142827	0.135938	0.152593	
0.1375	10	0.1375	0.144047	0.1375	0.151372	
0.139063	10	0.139063	0.146184	0.139063	0.151982	
0.140625	10	0.140625	0.146184	0.140625	0.155034	
0.142187	10	0.142187	0.144353	0.142187	0.151677	
0.14375	10	0.14375	0.143437	0.14375	0.151982	
0.145313	10	0.145313	0.145268	0.145313	0.151677	
0.146875	10	0.146875	0.145878	0.146875	0.150456	
0.148437	10	0.148437	0.147099	0.148437	0.151677	
0.15	10	0.15	0.145878	0.15	0.152287	
0.151563	10	0.151563	0.150456	0.151563	0.148625	
0.153125	10	0.153125	0.150151	0.153125	0.150151	
0.154688	10	0.154688	0.145268	0.154688	0.150456	
