Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	4.94919	0	0.192267	
0.0015625	10	0.0015625	4.95193	0.0015625	0.187994	
0.003125	10	0.003125	4.962	0.003125	0.187689	
0.0046875	10	0.0046875	4.9501	0.0046875	0.190435	
0.00625	10	0.00625	4.95224	0.00625	0.188299	
0.0078125	10	0.0078125	4.9501	0.0078125	0.189825	
0.009375	10	0.009375	4.95285	0.009375	0.185553	
0.0109375	10	0.0109375	4.95437	0.0109375	0.187384	
0.0125	10	0.0125	4.95468	0.0125	0.185858	
0.0140625	10	0.0140625	4.95621	0.0140625	0.183721	
0.015625	10	0.015625	4.95682	0.015625	0.188299	
0.0171875	10	0.0171875	4.95834	0.0171875	0.187689	
0.01875	10	0.01875	4.95468	0.01875	0.187078	
0.0203125	10	0.0203125	4.95102	0.0203125	0.190741	
0.021875	10	0.021875	4.95376	0.021875	0.188604	
0.0234375	10	0.0234375	4.95071	0.0234375	0.188299	
0.025	10	0.025	4.95499	0.025	0.18952	
0.0265625	10	0.0265625	4.94766	0.0265625	0.189825	
0.028125	10	0.028125	4.95285	0.028125	0.187994	
0.0296875	10	0.0296875	4.95712	0.0296875	0.185553	
0.03125	10	0.03125	4.95346	0.03125	0.189215	
0.0328125	10	0.0328125	4.94766	0.0328125	0.187078	
0.034375	10	0.034375	4.95651	0.034375	0.185858	
0.0359375	10	0.0359375	4.9498	0.0359375	0.188299	
0.0375	10	0.0375	4.94888	0.0375	0.18952	
0.0390625	10	0.0390625	4.92782	0.0390625	0.193487	
0.040625	10	0.040625	4.93973	0.040625	0.192267	
0.0421875	10	0.0421875	4.95346	0.0421875	0.190435	
0.04375	10	0.04375	4.94949	0.04375	0.18952	
0.0453125	10	0.0453125	4.94736	0.0453125	0.19013	
0.046875	10	0.046875	4.96323	0.046875	0.187994	
0.0484375	10	0.0484375	4.95346	0.0484375	0.186468	
0.05	10	0.05	4.95376	0.05	0.185553	
0.0515625	10	0.0515625	4.95499	0.0515625	0.184332	
0.053125	10	0.053125	4.95529	0.053125	0.187078	
0.0546875	10	0.0546875	4.95254	0.0546875	0.187078	
0.05625	10	0.05625	4.95437	0.05625	0.184942	
0.0578125	10	0.0578125	4.94888	0.0578125	0.186773	
0.059375	10	0.059375	4.94858	0.059375	0.19013	
0.0609375	10	0.0609375	4.95041	0.0609375	0.187994	
0.0625	10	0.0625	4.9501	0.0625	0.188604	
0.0640625	10	0.0640625	4.94766	0.0640625	0.189825	
0.065625	10	0.065625	4.95224	0.065625	0.190435	
0.0671875	10	0.0671875	4.95285	0.0671875	0.189215	
0.06875	10	0.06875	4.95468	0.06875	0.187994	
0.0703125	10	0.0703125	4.95437	0.0703125	0.183111	
0.071875	10	0.071875	4.95193	0.071875	0.187078	
0.0734375	10	0.0734375	4.95499	0.0734375	0.187078	
0.075	10	0.075	4.96384	0.075	0.182806	
0.0765625	10	0.0765625	4.95743	0.0765625	0.186163	
0.078125	10	0.078125	4.95285	0.078125	0.186163	
0.0796875	10	0.0796875	4.94522	0.0796875	0.18891	
0.08125	10	0.08125	4.95041	0.08125	0.187994	
0.0828125	10	0.0828125	4.96384	0.0828125	0.18952	
0.084375	10	0.084375	4.95407	0.084375	0.188299	
0.0859375	10	0.0859375	4.95224	0.0859375	0.188299	
0.0875	10	0.0875	4.96017	0.0875	0.186163	
0.0890625	10	0.0890625	4.95285	0.0890625	0.189215	
0.090625	10	0.090625	4.94736	0.090625	0.189825	
0.0921875	10	0.0921875	4.95193	0.0921875	0.184942	
0.09375	10	0.09375	4.96292	0.09375	0.184637	
0.0953125	10	0.0953125	4.95376	0.0953125	0.187994	
0.096875	10	0.096875	4.95224	0.096875	0.185553	
0.0984375	10	0.0984375	4.95682	0.0984375	0.186468	
0.1	10	0.1	4.94858	0.1	0.190741	
0.101562	10	0.101562	4.94888	0.101562	0.187994	
0.103125	10	0.103125	4.94858	0.103125	0.186773	
0.104688	10	0.104688	4.94675	0.104688	0.18952	
0.10625	10	0.10625	4.94736	0.10625	0.190741	
0.107813	10	0.107813	4.95041	0.107813	0.189825	
0.109375	10	0.109375	4.95834	0.109375	0.183111	
0.110938	10	0.110938	4.95773	0.110938	0.185858	
0.1125	10	0.1125	4.93027	0.1125	0.191961	
0.114063	10	0.114063	4.95956	0.114063	0.187689	
0.115625	10	0.115625	4.9498	0.115625	0.186468	
0.117187	10	0.117187	4.95407	0.117187	0.187689	
0.11875	10	0.11875	4.96414	0.11875	0.184942	
0.120313	10	0.120313	4.94797	0.120313	0.189215	
