Time - TTL  0	TTL signal - TTL  0	Time - TTL  1	TTL signal - TTL  1	Time - Plot 2	SUM signal - Plot 2	
0	10	0	0.144963	0	0.153813	
0.0015625	10	0.0015625	0.145878	0.0015625	0.15595	
0.003125	10	0.003125	0.144047	0.003125	0.156255	
0.0046875	10	0.0046875	0.143437	0.0046875	0.153203	
0.00625	10	0.00625	0.146184	0.00625	0.149541	
0.0078125	10	0.0078125	0.144963	0.0078125	0.154729	
0.009375	10	0.009375	0.144963	0.009375	0.152898	
0.0109375	10	0.0109375	0.143742	0.0109375	0.150761	
0.0125	10	0.0125	0.148015	0.0125	0.150456	
0.0140625	10	0.0140625	0.137333	0.0140625	0.153508	
0.015625	10	0.015625	0.14771	0.015625	0.151982	
0.0171875	10	0.0171875	0.144353	0.0171875	0.152287	
0.01875	10	0.01875	0.146794	0.01875	0.151677	
0.0203125	10	0.0203125	0.143437	0.0203125	0.153203	
0.021875	10	0.021875	0.153508	0.021875	0.152287	
0.0234375	10	0.0234375	0.144963	0.0234375	0.155034	
0.025	10	0.025	0.143742	0.025	0.153203	
0.0265625	10	0.0265625	0.150456	0.0265625	0.150761	
0.028125	10	0.028125	0.145573	0.028125	0.152593	
0.0296875	10	0.0296875	0.144658	0.0296875	0.151067	
0.03125	10	0.03125	0.149236	0.03125	0.151677	
0.0328125	10	0.0328125	0.149541	0.0328125	0.150151	
0.034375	10	0.034375	0.150151	0.034375	0.151067	
0.0359375	10	0.0359375	0.149541	0.0359375	0.152287	
0.0375	10	0.0375	0.143132	0.0375	0.151982	
0.0390625	10	0.0390625	0.146184	0.0390625	0.151067	
0.040625	10	0.040625	0.141911	0.040625	0.154118	
0.0421875	10	0.0421875	0.145268	0.0421875	0.153203	
0.04375	10	0.04375	0.143437	0.04375	0.153203	
0.0453125	10	0.0453125	0.141606	0.0453125	0.153508	
0.046875	10	0.046875	0.144963	0.046875	0.151677	
0.0484375	10	0.0484375	0.150151	0.0484375	0.154424	
0.05	10	0.05	0.148015	0.05	0.150151	
0.0515625	10	0.0515625	0.153813	0.0515625	0.151372	
0.053125	10	0.053125	0.154118	0.053125	0.149846	
0.0546875	10	0.0546875	0.145268	0.0546875	0.151372	
0.05625	10	0.05625	0.14893	0.05625	0.150761	
0.0578125	10	0.0578125	0.144047	0.0578125	0.152593	
0.059375	10	0.059375	0.145573	0.059375	0.154118	
0.0609375	10	0.0609375	0.14069	0.0609375	0.155644	
0.0625	10	0.0625	0.152287	0.0625	0.153508	
0.0640625	10	0.0640625	0.147099	0.0640625	0.153813	
0.065625	10	0.065625	0.144047	0.065625	0.153203	
0.0671875	10	0.0671875	0.146794	0.0671875	0.153508	
0.06875	10	0.06875	0.158086	0.06875	0.150456	
0.0703125	10	0.0703125	0.148015	0.0703125	0.149846	
0.071875	10	0.071875	0.147404	0.071875	0.151677	
0.0734375	10	0.0734375	0.152287	0.0734375	0.149541	
0.075	10	0.075	0.149541	0.075	0.151067	
0.0765625	10	0.0765625	0.153813	0.0765625	0.152593	
0.078125	10	0.078125	0.150151	0.078125	0.152287	
0.0796875	10	0.0796875	0.140385	0.0796875	0.153508	
0.08125	10	0.08125	0.145268	0.08125	0.15595	
0.0828125	10	0.0828125	0.141606	0.0828125	0.156255	
